140471B  ZXREL(XMSG-SYMBOL-LIST)
140500B  WGLOB(XMSG-SYMBOL-LIST)
140501B  RGLOB(XMSG-SYMBOL-LIST)
140504B  CNREK(XMSG-SYMBOL-LIST)
140510B  LBIT(XMSG-SYMBOL-LIST)
140511B  LBITP(XMSG-SYMBOL-LIST)
140512B  SBIT(XMSG-SYMBOL-LIST)
140513B  SBITP(XMSG-SYMBOL-LIST)
140514B  LBTPH(XMSG-SYMBOL-LIST)
140515B  SBTPH(XMSG-SYMBOL-LIST)
140551B  ZXBUI(XMSG-SYMBOL-LIST)
140575B  XHLNK(XMSG-SYMBOL-LIST)
141046B  ZLINI(XMSG-SYMBOL-LIST)
141114B  ZLKIL(XMSG-SYMBOL-LIST)
141304B  ZGKIL(XMSG-SYMBOL-LIST)
141547B  ZLFAL(XMSG-SYMBOL-LIST)
141674B  ZQSAL(XMSG-SYMBOL-LIST)
141700B  ZQCAL(XMSG-SYMBOL-LIST)
141714B  ZXDIC(XMSG-SYMBOL-LIST)
141716B  ZXENC(XMSG-SYMBOL-LIST)
142004B  XLOGP(XMSG-SYMBOL-LIST)
142045B  ZLSTO(XMSG-SYMBOL-LIST)
142137B  INM01(XMSG-SYMBOL-LIST)
142145B  XHRES(XMSG-SYMBOL-LIST)
142151B  XHSUP(XMSG-SYMBOL-LIST)
142167B  XHSCL(XMSG-SYMBOL-LIST)
142171B  XHCLR(XMSG-SYMBOL-LIST)
142212B  XHINI(XMSG-SYMBOL-LIST)
142250B  XHCHK(XMSG-SYMBOL-LIST)
142312B  ZXC12(XMSG-SYMBOL-LIST)
142323B  ZXC13(XMSG-SYMBOL-LIST)
142346B  XHRRS(XMSG-SYMBOL-LIST)
142410B  XHTRS(XMSG-SYMBOL-LIST)
142440B  XGINP(XMSG-SYMBOL-LIST)
142557B  ZGSND(XMSG-SYMBOL-LIST)
142562B  ZGSN1(XMSG-SYMBOL-LIST)
142624B  ZGTFN(XMSG-SYMBOL-LIST)
142706B  XHLIF(XMSG-SYMBOL-LIST)
143100B  MOVNN(XMSG-SYMBOL-LIST)
143101B  MOVNA(XMSG-SYMBOL-LIST)
143102B  MOVNP(XMSG-SYMBOL-LIST)
143103B  MOVAN(XMSG-SYMBOL-LIST)
143104B  MOVAA(XMSG-SYMBOL-LIST)
143105B  MOVAP(XMSG-SYMBOL-LIST)
143106B  MOVPN(XMSG-SYMBOL-LIST)
143107B  MOVPA(XMSG-SYMBOL-LIST)
143110B  MOVPP(XMSG-SYMBOL-LIST)
143155B  XGACB(XMSG-SYMBOL-LIST)
143226B  XGLIF(XMSG-SYMBOL-LIST)
143300B  LDATX(XMSG-SYMBOL-LIST) / XZLDA(XMSG-SYMBOL-LIST)
143301B  LDXTX(XMSG-SYMBOL-LIST) / XZLDX(XMSG-SYMBOL-LIST)
143302B  LDDTX(XMSG-SYMBOL-LIST) / XZLDD(XMSG-SYMBOL-LIST)
143303B  LDBTX(XMSG-SYMBOL-LIST)
143304B  STATX(XMSG-SYMBOL-LIST) / XZSTA(XMSG-SYMBOL-LIST)
143305B  STZTX(XMSG-SYMBOL-LIST) / XZSTZ(XMSG-SYMBOL-LIST)
143306B  STDTX(XMSG-SYMBOL-LIST) / XZSTD(XMSG-SYMBOL-LIST)
